
PADDING APPLIED | Original shape: (224, 223, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (224, 202, 3)
PADDING APPLIED | Original shape: (224, 222, 3)
PADDING APPLIED | Original shape: (224, 213, 3)
PADDING APPLIED | Original shape: (224, 191, 3)
PADDING APPLIED | Original shape: (224, 223, 3)
PADDING APPLIED | Original shape: (224, 223, 3)
PADDING APPLIED | Original shape: (224, 216, 3)
PADDING APPLIED | Original shape: (224, 214, 3)
PADDING APPLIED | Original shape: (224, 214, 3)
PADDING APPLIED | Original shape: (224, 214, 3)
PADDING APPLIED | Original shape: (224, 217, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 221, 3)
PADDING APPLIED | Original shape: (224, 214, 3)
PADDING APPLIED | Original shape: (224, 185, 3)
PADDING APPLIED | Original shape: (224, 222, 3)
PADDING APPLIED | Original shape: (224, 223, 3)
PADDING APPLIED | Original shape: (224, 218, 3)
PADDING APPLIED | Original shape: (224, 221, 3)
PADDING APPLIED | Original shape: (224, 218, 3)
PADDING APPLIED | Original shape: (224, 200, 3)
PADDING APPLIED | Original shape: (224, 150, 3)
PADDING APPLIED | Original shape: (224, 202, 3)
PADDING APPLIED | Original shape: (224, 209, 3)
PADDING APPLIED | Original shape: (224, 221, 3)
PADDING APPLIED | Original shape: (224, 220, 3)
PADDING APPLIED | Original shape: (224, 192, 3)
PADDING APPLIED | Original shape: (224, 195, 3)
PADDING APPLIED | Original shape: (224, 184, 3)
PADDING APPLIED | Original shape: (224, 139, 3)
PADDING APPLIED | Original shape: (224, 144, 3)
PADDING APPLIED | Original shape: (224, 144, 3)
PADDING APPLIED | Original shape: (224, 203, 3)
PADDING APPLIED | Original shape: (224, 217, 3)
PADDING APPLIED | Original shape: (224, 213, 3)
PADDING APPLIED | Original shape: (224, 215, 3)
PADDING APPLIED | Original shape: (224, 203, 3)
PADDING APPLIED | Original shape: (224, 215, 3)
PADDING APPLIED | Original shape: (224, 210, 3)
PADDING APPLIED | Original shape: (224, 218, 3)
PADDING APPLIED | Original shape: (224, 219, 3)
PADDING APPLIED | Original shape: (224, 208, 3)
PADDING APPLIED | Original shape: (224, 207, 3)
PADDING APPLIED | Original shape: (224, 201, 3)
PADDING APPLIED | Original shape: (224, 203, 3)
PADDING APPLIED | Original shape: (224, 203, 3)
PADDING APPLIED | Original shape: (224, 203, 3)
PADDING APPLIED | Original shape: (224, 203, 3)
PADDING APPLIED | Original shape: (224, 208, 3)
PADDING APPLIED | Original shape: (224, 216, 3)
PADDING APPLIED | Original shape: (224, 208, 3)
PADDING APPLIED | Original shape: (224, 208, 3)
PADDING APPLIED | Original shape: (224, 208, 3)
PADDING APPLIED | Original shape: (224, 208, 3)
PADDING APPLIED | Original shape: (224, 208, 3)
PADDING APPLIED | Original shape: (224, 222, 3)
PADDING APPLIED | Original shape: (224, 219, 3)
PADDING APPLIED | Original shape: (224, 212, 3)
PADDING APPLIED | Original shape: (224, 214, 3)
PADDING APPLIED | Original shape: (224, 220, 3)
PADDING APPLIED | Original shape: (224, 219, 3)
PADDING APPLIED | Original shape: (224, 219, 3)
PADDING APPLIED | Original shape: (224, 211, 3)
PADDING APPLIED | Original shape: (224, 200, 3)
PADDING APPLIED | Original shape: (224, 200, 3)
PADDING APPLIED | Original shape: (224, 223, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (222, 224, 3)
PADDING APPLIED | Original shape: (224, 202, 3)
PADDING APPLIED | Original shape: (224, 222, 3)
PADDING APPLIED | Original shape: (224, 213, 3)
PADDING APPLIED | Original shape: (224, 191, 3)
PADDING APPLIED | Original shape: (224, 223, 3)
PADDING APPLIED | Original shape: (224, 223, 3)
PADDING APPLIED | Original shape: (224, 216, 3)
PADDING APPLIED | Original shape: (224, 214, 3)
PADDING APPLIED | Original shape: (224, 214, 3)
PADDING APPLIED | Original shape: (224, 214, 3)
PADDING APPLIED | Original shape: (224, 217, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 199, 3)
PADDING APPLIED | Original shape: (224, 221, 3)
PADDING APPLIED | Original shape: (224, 214, 3)
PADDING APPLIED | Original shape: (224, 185, 3)
PADDING APPLIED | Original shape: (224, 222, 3)
PADDING APPLIED | Original shape: (224, 223, 3)
PADDING APPLIED | Original shape: (224, 218, 3)
PADDING APPLIED | Original shape: (224, 221, 3)
PADDING APPLIED | Original shape: (224, 218, 3)
